Time_point,Replicate,TMT_label,MS_sample_number,Temperature,Sample
1,2,127N,S2293,62,nodrug
2,2,127C,S2293,62,nodrug
4,2,128N,S2293,62,nodrug
7,2,128C,S2293,62,nodrug
12,2,129N,S2293,62,nodrug
24,2,129C,S2293,62,nodrug
48,2,130N,S2293,62,nodrug
0,2,130C,S2293,64,nodrug
1,2,131N,S2293,64,nodrug
2,2,131C,S2293,64,nodrug
4,2,132N,S2293,64,nodrug
7,2,132C,S2293,64,nodrug
12,2,133N,S2293,64,nodrug
24,2,133C,S2293,64,nodrug
48,2,134N,S2293,64,nodrug
0,3,126,S2299,40,nodrug
1,3,127N,S2299,40,nodrug
2,3,127C,S2299,40,nodrug
4,3,128N,S2299,40,nodrug
7,3,128C,S2299,40,nodrug
12,3,129N,S2299,40,nodrug
24,3,129C,S2299,40,nodrug
48,3,130N,S2299,40,nodrug
0,3,130C,S2299,42.1,nodrug
1,3,131N,S2299,42.1,nodrug
2,3,131C,S2299,42.1,nodrug
4,3,132N,S2299,42.1,nodrug
7,3,132C,S2299,42.1,nodrug
12,3,133N,S2299,42.1,nodrug
24,3,133C,S2299,42.1,nodrug
48,3,134N,S2299,42.1,nodrug
0,3,126,S2300,43.8,nodrug
1,3,127N,S2300,43.8,nodrug
2,3,127C,S2300,43.8,nodrug
4,3,128N,S2300,43.8,nodrug
7,3,128C,S2300,43.8,nodrug
12,3,129N,S2300,43.8,nodrug
24,3,129C,S2300,43.8,nodrug
48,3,130N,S2300,43.8,nodrug
0,3,130C,S2300,46.5,nodrug
1,3,131N,S2300,46.5,nodrug
2,3,131C,S2300,46.5,nodrug
4,3,132N,S2300,46.5,nodrug
7,3,132C,S2300,46.5,nodrug
12,3,133N,S2300,46.5,nodrug
24,3,133C,S2300,46.5,nodrug
48,3,134N,S2300,46.5,nodrug
0,3,126,S2301,50,nodrug
1,3,127N,S2301,50,nodrug
2,3,127C,S2301,50,nodrug
4,3,128N,S2301,50,nodrug
7,3,128C,S2301,50,nodrug
12,3,129N,S2301,50,nodrug
24,3,129C,S2301,50,nodrug
48,3,130N,S2301,50,nodrug
0,3,130C,S2301,54,nodrug
1,3,131N,S2301,54,nodrug
2,3,131C,S2301,54,nodrug
4,3,132N,S2301,54,nodrug
7,3,132C,S2301,54,nodrug
12,3,133N,S2301,54,nodrug
24,3,133C,S2301,54,nodrug
48,3,134N,S2301,54,nodrug
0,3,126,S2302,57.3,nodrug
1,3,127N,S2302,57.3,nodrug
2,3,127C,S2302,57.3,nodrug
4,3,128N,S2302,57.3,nodrug
7,3,128C,S2302,57.3,nodrug
12,3,129N,S2302,57.3,nodrug
24,3,129C,S2302,57.3,nodrug
48,3,130N,S2302,57.3,nodrug
0,3,130C,S2302,60.1,nodrug
1,3,131N,S2302,60.1,nodrug
2,3,131C,S2302,60.1,nodrug
4,3,132N,S2302,60.1,nodrug
7,3,132C,S2302,60.1,nodrug
12,3,133N,S2302,60.1,nodrug
24,3,133C,S2302,60.1,nodrug
48,3,134N,S2302,60.1,nodrug
0,3,126,S2303,62,nodrug
1,3,127N,S2303,62,nodrug
2,3,127C,S2303,62,nodrug
4,3,128N,S2303,62,nodrug
7,3,128C,S2303,62,nodrug
12,3,129N,S2303,62,nodrug
24,3,129C,S2303,62,nodrug
48,3,130N,S2303,62,nodrug
0,3,130C,S2303,64,nodrug
1,3,131N,S2303,64,nodrug
2,3,131C,S2303,64,nodrug
4,3,132N,S2303,64,nodrug
7,3,132C,S2303,64,nodrug
12,3,133N,S2303,64,nodrug
24,3,133C,S2303,64,nodrug
48,3,134N,S2303,64,nodrug
